,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
469,2012.0,Shadow and Bone,Leigh Bardugo,eng,Excellent,4.05,135225,fiction,0.0,3.99,519,"Amazon Digital Services,  Inc.",4590,18314.1
470,2009.0,Het diner,"Herman Koch, Sam Garrett",eng,Novice,3.22,74979,genre fiction,0.0,4.99,520,"Amazon Digital Services,  Inc.",4590,22904.1
471,2013.0,Champion,Marie Lu,eng,Excellent,4.37,114623,nonfiction,1012.986,9.99,523,Simon and Schuster Digital Sales Inc,4563,45584.37
473,2011.0,Lola and the Boy Next Door,Stephanie Perkins,en-US,Intermediate,4.0,108370,genre fiction,404.586,3.99,524,"Amazon Digital Services,  Inc.",4563,18206.370000000003
474,1999.0,White Teeth,Zadie Smith,en-US,Intermediate,3.75,82474,fiction,100.386,0.99,524,"Amazon Digital Services,  Inc.",4563,4517.37
475,2012.0,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",eng,Intermediate,3.97,61422,genre fiction,1291.836,12.74,525,Macmillan,4563,58132.62
476,2004.0,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,en-GB,Intermediate,3.79,83607,nonfiction,776.724,7.66,526,Simon and Schuster Digital Sales Inc,4563,34952.58
477,2011.0,The Power of Six,Pittacus Lore,eng,Excellent,4.17,97938,fiction,1106.274,10.91,526,Macmillan,4563,49782.33
478,2013.0,The Interestings,Meg Wolitzer,eng,Intermediate,3.54,76566,genre fiction,805.392,7.99,528,HarperCollins Publishers,4536,36242.64
480,2008.0,People of the Book,Geraldine Brooks,eng,Intermediate,4.0,95796,genre fiction,775.152,7.69,531,Penguin Group (USA) LLC,4536,34881.840000000004
481,2012.0,The Secret Keeper,Kate Morton,es,Excellent,4.13,89460,genre fiction,199.398,1.99,532,HarperCollins Publishers,4509,8972.91
485,2001.0,The Surgeon,Tess Gerritsen,en-GB,Excellent,4.1,89468,nonfiction,1101.198,10.99,536,Random House LLC,4509,49553.91
486,2012.0,The Girl You Left Behind,Jojo Moyes,eng,Intermediate,3.95,80991,genre fiction,691.224,6.94,537,Random House LLC,4482,31105.08
487,1996.0,Royal Assassin,Robin Hobb,eng,Excellent,4.21,82608,fiction,0.0,0.99,538,"Amazon Digital Services,  Inc.",4482,4437.18
489,2004.0, The Tale of Despereaux,"Kate DiCamillo, Timothy Basil Ering",en-US,Intermediate,4.0,113066,genre fiction,692.01,6.99,541,Penguin Group (USA) LLC,4455,31140.45
490,2007.0,"Animal, Vegetable, Miracle: A Year of Food Life","Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",en-US,Excellent,4.03,83881,genre fiction,494.01,4.99,542,"Amazon Digital Services,  Inc.",4455,22230.45
491,2014.0,Heir of Fire,Sarah J. Maas,eng,Famous,4.53,123843,genre fiction,98.01,0.99,543,Hachette Book Group,4455,4410.45
493,2009.0,The Sweetness at the Bottom of the Pie,Alan Bradley,eng,Intermediate,3.81,99841,genre fiction,1054.35,10.65,545,Penguin Group (USA) LLC,4455,47445.75
494,2003.0,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,en-US,Intermediate,3.92,82090,genre fiction,0.0,0.99,546,"Amazon Digital Services,  Inc.",4428,4383.72
495,2005.0,A Breath of Snow and Ashes,Diana Gabaldon,eng,Famous,4.43,87098,nonfiction,1047.96,10.65,547,Penguin Group (USA) LLC,4428,47158.2
496,2014.0,The Blood of Olympus,Rick Riordan,eng,Famous,4.41,110719,genre fiction,97.416,0.99,549,"Amazon Digital Services,  Inc.",4428,4383.72
497,2016.0,Truly Madly Guilty,Liane Moriarty,eng,Intermediate,3.55,90477,genre fiction,0.0,0.99,549,"Amazon Digital Services,  Inc.",4428,4383.72
498,2012.0,"Saga, Volume One","Brian K. Vaughan, Fiona Staples",eng,Excellent,4.25,131906,genre fiction,97.416,0.99,550,"Amazon Digital Services,  Inc.",4428,4383.72
499,2011.0,The Art of Fielding,Chad Harbach,eng,Intermediate,3.99,81712,genre fiction,194.622,1.99,551,"Amazon Digital Services,  Inc.",4401,8757.99
501,2006.0,Fablehaven,Brandon Mull,eng,Excellent,4.08,99390,genre fiction,882.156,9.02,553,Random House LLC,4401,39697.02
502,2000.0,The Wide Window,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.91,118624,genre fiction,96.822,0.99,554,"Amazon Digital Services,  Inc.",4401,4356.99
503,2001.0,Grave Peril,Jim Butcher,eng,Excellent,4.18,97736,nonfiction,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374,8704.26
504,2007.0,Einstein. His Life and Universe,Walter Isaacson,eng,Excellent,4.08,71156,nonfiction,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374,8704.26
505,2011.0,Effortless,S.C. Stephens,eng,Excellent,4.37,83085,genre fiction,96.228,0.99,558,"Amazon Digital Services,  Inc.",4374,4330.26
506,1998.0,The Street Lawyer,John Grisham,eng,Intermediate,3.81,80577,genre fiction,192.234,1.99,561,Random House LLC,4347,8650.53
508,2009.0,Pride and Prejudice and Zombies,"Seth Grahame-Smith, Jane Austen",eng,Novice,3.28,103995,genre fiction,369.012,3.82,562,"Amazon Digital Services,  Inc.",4347,16605.54
509,2013.0,Lets Explore Diabetes with Owls,David Sedaris,eng,Intermediate,3.8,81616,genre fiction,287.04,2.99,565,Macmillan,4320,12916.8
512,2008.0,Rodrick Rules,Jeff Kinney,en-US,Excellent,4.1,91831,genre fiction,0.0,2.99,567,"Amazon Digital Services,  Inc.",4320,12916.8
513,2015.0,Why Not Me?,Mindy Kaling,eng,Intermediate,3.89,74199,genre fiction,959.04,9.99,568,Random House LLC,4320,43156.8
514,2014.0,Four: A Divergent Collection,Veronica Roth,eng,Excellent,4.1,97058,fiction,0.0,2.99,570,"Amazon Digital Services,  Inc.",4293,12836.070000000002
515,2015.0,Modern Romance,"Aziz Ansari, Eric Klinenberg",eng,Intermediate,3.85,94231,genre fiction,0.0,0.99,571,"Amazon Digital Services,  Inc.",4293,4250.07
516,2012.0,The One and Only Ivan,"Katherine Applegate, Patricia Castelao",eng,Excellent,4.24,85136,genre fiction,0.0,2.99,572,"Amazon Digital Services,  Inc.",4293,12836.070000000002
517,1997.0,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,en-US,Excellent,4.07,45382,genre fiction,380.646,3.99,572,Hachette Book Group,4293,17129.07
518,2005.0,Elantris,Brandon Sanderson,eng,Excellent,4.17,95950,genre fiction,188.652,1.99,574,Simon and Schuster Digital Sales Inc,4266,8489.34
519,2008.0,The Knife of Never Letting Go,Patrick Ness,eng,Intermediate,3.96,99638,genre fiction,681.612,7.19,575,"Amazon Digital Services,  Inc.",4266,30672.54
520,1998.0,One Thousand White Women: The Journals of May Dodd,Jim Fergus,eng,Intermediate,3.88,84367,genre fiction,283.452,2.99,576,"Amazon Digital Services,  Inc.",4266,12755.34
521,2009.0,Handle with Care,Jodi Picoult,eng,Intermediate,3.96,90138,fiction,852.252,8.99,577,HarperCollins Publishers,4266,38351.34
522,2004.0,Song of Susannah,"Stephen King, Darrel Anderson",eng,Intermediate,3.98,84957,genre fiction,0.0,2.99,578,"Amazon Digital Services,  Inc.",4239,12674.61
523,2012.0,Reached,Ally Condie,es,Intermediate,3.56,109290,genre fiction,0.0,0.99,580,"Amazon Digital Services,  Inc.",4239,4196.61
525,2004.0,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,eng,Intermediate,3.86,82535,genre fiction,0.0,0.99,585,"Amazon Digital Services,  Inc.",4212,4169.88
526,1999.0,The Testament,John Grisham,es,Intermediate,3.83,80377,nonfiction,467.064,4.99,585,Random House LLC,4212,21017.88
528,1998.0,Among the Hidden ,Margaret Peterson Haddix,eng,Intermediate,3.97,94478,genre fiction,1263.87,13.59,589,HarperCollins Publishers,4185,56874.15
529,2007.0,In Defense of Food: An Eater's Manifesto,Michael Pollan,en-US,Excellent,4.07,80434,genre fiction,0.0,3.99,589,"Amazon Digital Services,  Inc.",4185,16698.15
531,2015.0,The Heir,Kiera Cass,eng,Intermediate,3.85,111044,genre fiction,0.0,3.99,592,"Amazon Digital Services,  Inc.",4158,16590.420000000002
532,2002.0,Shopaholic Ties the Knot,Sophie Kinsella,eng,Intermediate,3.77,88139,genre fiction,0.0,2.99,594,"Amazon Digital Services,  Inc.",4158,12432.42
534,2015.0,Career of Evil,"Robert Galbraith, J.K. Rowling",eng,Excellent,4.21,66979,genre fiction,700.392,7.58,595,Penguin Group (USA) LLC,4158,31517.64
535,2009.0,The Summer I Turned Pretty,Jenny Han,en-US,Intermediate,3.96,104730,genre fiction,0.0,3.99,596,"Amazon Digital Services,  Inc.",4131,16482.690000000002
536,1998.0,Four to Score ,Janet Evanovich,en-US,Excellent,4.17,106871,genre fiction,90.882,0.99,597,"Amazon Digital Services,  Inc.",4131,4089.69
537,1996.0,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,en-US,Excellent,4.06,80906,genre fiction,0.0,0.99,598,"Amazon Digital Services,  Inc.",4131,4089.69
538,2009.0,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt, Stephen J. Dubner",en-US,Intermediate,3.95,85006,genre fiction,705.942,7.69,600,Penguin Group (USA) LLC,4131,31767.390000000003
539,2006.0,Darkfever,Karen Marie Moning,eng,Excellent,4.14,110812,genre fiction,971.28,10.65,601,Penguin Group (USA) LLC,4104,43707.6
541,2010.0,Heart of the Matter,Emily Giffin,en-US,Intermediate,3.73,83461,genre fiction,546.288,5.99,603,Simon and Schuster Digital Sales Inc,4104,24582.96
545,2016.0,The Nest,Cynthia D'Aprix Sweeney,eng,Novice,3.45,79762,nonfiction,905.094,9.99,608,"Amazon Digital Services,  Inc.",4077,40729.23
546,2001.0,"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",eng,Intermediate,3.99,101016,genre fiction,675.0,7.5,610,Penguin Group (USA) LLC,4050,30375.0
547,2001.0,Getting Things Done: How To Achieve Stress-free Productivity,David    Allen,en-GB,Intermediate,3.98,75665,genre fiction,0.0,3.99,611,"Amazon Digital Services,  Inc.",4050,16159.5
549,2012.0,My Life Next Door ,Huntley Fitzpatrick,eng,Excellent,4.02,102012,genre fiction,356.706,3.99,615,Simon and Schuster Digital Sales Inc,4023,16051.77
550,2012.0,Winter of the World,Ken Follett,eng,Excellent,4.29,71971,nonfiction,893.106,9.99,616,HarperCollins Publishing,4023,40189.77
551,2013.0,"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]","Haruki Murakami, Philip Gabriel",eng,Intermediate,3.82,67873,fiction,0.0,3.99,616,"Amazon Digital Services,  Inc.",4023,16051.77
552,1999.0,Lucky,Alice Sebold,eng,Intermediate,3.77,77462,children,856.452,9.58,617,"Amazon Digital Services,  Inc.",4023,38540.34
554,2004.0,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,en-GB,Novice,3.43,67438,genre fiction,0.0,0.99,620,"Amazon Digital Services,  Inc.",3996,3956.04
556,2002.0,The Messenger,Markus Zusak,en-US,Excellent,4.09,93119,genre fiction,87.318,0.99,624,"Amazon Digital Services,  Inc.",3969,3929.31
559,2000.0,House of Leaves,Mark Z. Danielewski,eng,Excellent,4.13,75469,genre fiction,0.0,2.99,625,"Amazon Digital Services,  Inc.",3969,11867.31
561,2013.0,Sycamore Row,John Grisham,eng,Intermediate,3.98,56315,genre fiction,644.742,7.31,627,Penguin Group (USA) LLC,3969,29013.39
562,2011.0,Awakened,"P.C. Cast, Kristin Cast",en-US,Excellent,4.02,101234,genre fiction,405.588,4.63,628,Hachette Book Group,3942,18251.46
564,2006.0,Life As We Knew It,Susan Beth Pfeffer,eng,Intermediate,3.89,94282,nonfiction,658.752,7.52,629,"Amazon Digital Services,  Inc.",3942,29643.84
565,2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",eng,Excellent,4.02,74511,nonfiction,699.924,7.99,630,Random House LLC,3942,31496.58
566,2004.0,90 Minutes in Heaven,"Don Piper, Cecil Murphey",es,Intermediate,3.91,67937,genre fiction,750.732,8.57,631,"Amazon Digital Services,  Inc.",3942,33782.94
567,2012.0,The Longest Ride,Nicholas Sparks,eng,Excellent,4.14,71276,genre fiction,0.0,0.99,631,"Amazon Digital Services,  Inc.",3942,3902.58
570,2008.0,Change of Heart,Jodi Picoult,en-US,Intermediate,3.91,86471,genre fiction,594.21,6.83,634,Simon and Schuster Digital Sales Inc,3915,26739.45
571,2003.0,Dry: A Memoir,Augusten Burroughs,eng,Excellent,4.01,70550,children,869.13,9.99,635,"Amazon Digital Services,  Inc.",3915,39110.85
572,2001.0,Sam's Letters To Jennifer,James Patterson,es,Excellent,4.15,77538,genre fiction,521.13,5.99,636,Hachette Book Group,3915,23450.85
573,2015.0,Grey,E.L. James,en-GB,Intermediate,3.76,75320,genre fiction,680.832,7.88,637,Hachette Book Group,3888,30637.44
576,2004.0,Little Earthquakes,Jennifer Weiner,es,Intermediate,3.76,77592,nonfiction,643.5,7.5,645,Random House LLC,3861,28957.5
578,2009.0,New Moon: The Complete Illustrated Movie Companion,Mark Cotta Vaz,en-US,Excellent,4.34,82399,genre fiction,936.348,10.99,647,Penguin Group (USA) LLC,61560,676544.4
579,2014.0,Maybe Someday,Colleen Hoover,eng,Excellent,4.33,81707,genre fiction,581.916,6.83,649,Random House LLC,61128,417504.24
580,1999.0,Mr Maybe,Jane Green,eng,Novice,3.41,78132,genre fiction,0.0,3.99,651,"Amazon Digital Services,  Inc.",61128,243900.72
584,2011.0,A Stolen Life,Jaycee Dugard,en-US,Intermediate,3.89,72713,fiction,0.0,3.99,655,"Amazon Digital Services,  Inc.",57240,228387.6
585,2010.0,The Immortals of Meluha,Amish Tripathi,eng,Intermediate,4.0,62784,genre fiction,251.16,2.99,658,"Amazon Digital Services,  Inc.",56808,169855.92
587,2013.0,Requiem,Lauren Oliver,eng,Intermediate,3.74,100593,genre fiction,0.0,4.99,659,"Amazon Digital Services,  Inc.",55080,274849.2
588,1996.0,A Crown of Swords,Robert Jordan,eng,Intermediate,4.0,86421,nonfiction,0.0,0.99,661,"Amazon Digital Services,  Inc.",54000,53460.0
591,2012.0,Finale,Becca Fitzpatrick,eng,Excellent,4.22,107569,genre fiction,909.972,10.99,666,Penguin Group (USA) LLC,53784,591086.16
593,2002.0,Lullaby,Chuck Palahniuk,es,Intermediate,3.73,66713,genre fiction,656.778,7.99,671,Hachette Book Group,53352,426282.48
594,2009.0,Two States,Chetan Bhagat,eng,Intermediate,3.42,67866,genre fiction,501.84,6.15,675,"Amazon Digital Services,  Inc.",53352,328114.80000000005
595,2005.0,ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,"Matsuri Hino, Tomo Kimura",eng,Excellent,4.1,89733,nonfiction,0.0,9.01,675,"Amazon Digital Services,  Inc.",53136,478755.36
596,2002.0,Summer Knight,Jim Butcher,eng,Excellent,4.3,91012,genre fiction,0.0,3.99,676,"Amazon Digital Services,  Inc.",52920,211150.8
598,2007.0,"The History of the Hobbit, Part One: Mr. Baggins","John D. Rateliff, J.R.R. Tolkien",eng,Intermediate,3.81,108399,genre fiction,0.0,3.99,680,"Amazon Digital Services,  Inc.",52488,209427.12
599,2014.0,Ugly Love,Colleen Hoover,eng,Excellent,4.3,107583,genre fiction,485.19,5.99,681,Random House LLC,52488,314403.12
600,1998.0,Chocolat,Joanne Harris,eng,Intermediate,3.95,84770,nonfiction,524.208,6.52,682,"Amazon Digital Services,  Inc.",52056,339405.12
603,2012.0,Gabriel's Rapture,Sylvain Reynard,eng,Excellent,4.22,91213,genre fiction,0.0,3.99,689,"Amazon Digital Services,  Inc.",51624,205979.76
605,2009.0,Let the Great World Spin,Colum McCann,en-US,Intermediate,3.93,71515,genre fiction,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,153064.08000000002
606,2003.0,The Eternity Code,Eoin Colfer,eng,Excellent,4.04,94437,fiction,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,153064.08000000002
607,2001.0,Tell No One,Harlan Coben,eng,Excellent,4.11,78070,genre fiction,236.808,2.99,693,"Amazon Digital Services,  Inc.",50976,152418.24000000002
609,2010.0,Hex Hall,Rachel Hawkins,eng,Intermediate,3.96,109881,fiction,0.0,3.99,693,"Amazon Digital Services,  Inc.",50544,201670.56
610,2010.0,Steal Like an Artist,Austin Kleon,en-US,Intermediate,3.86,93625,genre fiction,78.408,0.99,694,"Amazon Digital Services,  Inc.",50328,49824.72
611,1999.0,Cryptonomicon,Neal Stephenson,eng,Excellent,4.25,72683,children,196.416,2.48,694,Random House LLC,50112,124277.76
612,2013.0,Beautiful Bastard,Christina Lauren,eng,Excellent,4.05,111668,genre fiction,0.0,2.99,695,"Amazon Digital Services,  Inc.",49896,149189.04
613,2000.0,Prodigal Summer,Barbara Kingsolver,en-US,Intermediate,3.98,78529,genre fiction,156.414,1.99,696,Simon and Schuster Digital Sales Inc,49896,99293.04
614,1996.0,We Were the Mulvaneys,Joyce Carol Oates,eng,Intermediate,3.7,77251,genre fiction,837.09,10.65,698,Hachette Book Group,49680,529092.0
616,2010.0,Beautiful Darkness,"Kami Garcia, Margaret Stohl",en-US,Intermediate,3.84,95447,nonfiction,156.414,1.99,700,HarperCollins Publishers,49248,98003.52
617,2011.0,The Psychopath Test,Jon Ronson,eng,Intermediate,3.91,44097,genre fiction,295.62,3.79,701,Macmillan,49032,185831.28
618,2005.0,Vanishing Acts,Jodi Picoult,en-US,Intermediate,3.68,79662,genre fiction,155.22,1.99,703,Random House LLC,48816,97143.84
620,2000.0,Hot Six,Janet Evanovich,eng,Excellent,4.18,99329,genre fiction,0.0,3.99,705,"Amazon Digital Services,  Inc.",48600,193914.0
621,2012.0,The Time Keeper,Mitch Albom,eng,Intermediate,3.85,72277,genre fiction,0.0,0.99,707,"Amazon Digital Services,  Inc.",48384,47900.16
622,2006.0,A Dirty Job,Christopher Moore,en-US,Excellent,4.08,78523,nonfiction,76.626,0.99,707,"Amazon Digital Services,  Inc.",48168,47686.32
623,2003.0,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,en-US,Excellent,4.24,66406,genre fiction,0.0,0.99,708,"Amazon Digital Services,  Inc.",47952,47472.48
624,2003.0,The Amulet of Samarkand,Jonathan Stroud,en-US,Intermediate,3.99,86062,genre fiction,0.0,0.99,709,"Amazon Digital Services,  Inc.",47736,47258.64
625,2007.0,I Am America (And So Can You!),"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",en-US,Intermediate,3.91,71023,genre fiction,531.456,6.92,710,Penguin Group (USA) LLC,47520,328838.4
631,2011.0,Seriously...I'm Kidding,Ellen DeGeneres,en-US,Intermediate,3.72,74358,genre fiction,505.968,6.64,714,Hachette Book Group,46872,311230.08
632,2000.0,The Miserable Mill,"Lemony Snicket, Brett Helquist",en-US,Intermediate,3.83,101325,genre fiction,837.438,10.99,716,Penguin Group (USA) LLC,46872,515123.28
633,2012.0,The Snow Child,Eowyn Ivey,eng,Intermediate,3.95,72328,genre fiction,75.438,0.99,716,"Amazon Digital Services,  Inc.",46872,46403.28
634,2013.0,Wait for You,"J. Lynn, Jennifer L. Armentrout",eng,Excellent,4.19,106236,genre fiction,0.0,3.99,717,"Amazon Digital Services,  Inc.",46440,185295.6
635,2009.0,The Last Straw,Jeff Kinney,eng,Excellent,4.11,82518,genre fiction,0.0,3.99,719,"Amazon Digital Services,  Inc.",46440,185295.6
638,2012.0,Onyx,Jennifer L. Armentrout,eng,Excellent,4.33,111448,genre fiction,676.5,9.02,725,Random House LLC,46008,414992.16
639,2013.0,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,eng,Excellent,4.28,109183,genre fiction,73.656,0.99,728,"Amazon Digital Services,  Inc.",45792,45334.08
640,2003.0,The Birth of Venus,Sarah Dunant,en-US,Intermediate,3.79,78129,genre fiction,0.0,2.99,730,"Amazon Digital Services,  Inc.",45576,136272.24000000002
641,2005.0,The Opal Deception,Eoin Colfer,eng,Excellent,4.04,95638,genre fiction,73.062,0.99,733,"Amazon Digital Services,  Inc.",45360,44906.4
642,2015.0,Det som inte dÃ¶dar oss,"David Lagercrantz, Stieg Larsson, George Goulding",eng,Intermediate,3.73,53751,genre fiction,73.062,0.99,736,Random House LLC,45144,44692.56
643,2016.0,The Girls,Emma Cline,eng,Novice,3.49,76761,genre fiction,584.868,7.99,737,Random House LLC,44928,358974.72000000003
644,2003.0,The Goose Girl,Shannon Hale,en-US,Excellent,4.18,92952,genre fiction,72.468,0.99,738,Simon and Schuster Digital Sales Inc,44280,43837.2
645,2001.0,Mystic River,Dennis Lehane,en-US,Excellent,4.19,86103,genre fiction,658.068,8.99,739,Random House LLC,43848,394193.52
646,2010.0,Warm Bodies,Isaac Marion,es,Intermediate,3.93,66381,genre fiction,292.068,3.99,740,"Amazon Digital Services,  Inc.",43848,174953.52000000002
649,2010.0,The Forty Rules of Love,"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´",eng,Excellent,4.17,35283,genre fiction,71.874,0.99,743,"Amazon Digital Services,  Inc.",43416,42981.84
650,1999.0,High Five,Janet Evanovich,eng,Excellent,4.17,92737,children,402.93,5.55,745,"Amazon Digital Services,  Inc.",43200,239760.0
651,2013.0,Joyland,Stephen King,eng,Intermediate,3.9,75018,genre fiction,0.0,0.99,746,"Amazon Digital Services,  Inc.",42768,42340.32
652,2010.0,é€²æ’ƒã®å·¨äºº 1,"Hajime Isayama, Sheldon Drzka",eng,Famous,4.42,82565,genre fiction,71.28,0.99,748,"Amazon Digital Services,  Inc.",42552,42126.48
656,2011.0,L'amica geniale,"Elena Ferrante, Ann Goldstein",eng,Intermediate,3.88,64637,nonfiction,547.638,7.67,753,Random House LLC,41472,318090.24
657,2007.0,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,eng,Intermediate,3.84,66129,genre fiction,0.0,2.99,757,"Amazon Digital Services,  Inc.",41256,123355.44
658,1996.0,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin S. Sharma,eng,Intermediate,3.77,52031,genre fiction,0.0,0.99,759,"Amazon Digital Services,  Inc.",40824,40415.76
659,2011.0,Rules of Civility,Amor Towles,eng,Intermediate,3.99,75541,genre fiction,427.686,5.99,760,Penguin Group (USA) LLC,40824,244535.76
661,2011.0,Between Shades of Gray,Ruta Sepetys,eng,Excellent,4.36,87718,genre fiction,142.086,1.99,761,"Amazon Digital Services,  Inc.",40176,79950.24
662,1996.0,Frindle,"Andrew Clements, Brian Selznick",en-US,Intermediate,3.79,83351,genre fiction,427.686,5.99,762,Macmillan,39960,239360.4
663,2009.0,Dog Days,Jeff Kinney,en-US,Excellent,4.14,78592,genre fiction,0.0,3.99,764,"Amazon Digital Services,  Inc.",39744,158578.56
664,2012.0,The Round House,Louise Erdrich,eng,Intermediate,3.91,67928,genre fiction,0.0,2.99,764,"Amazon Digital Services,  Inc.",39312,117542.88
666,2012.0,Free Four: Tobias Tells the Divergent Story,Veronica Roth,eng,Excellent,4.18,81621,nonfiction,713.286,9.99,765,Hachette Book Group,38880,388411.2
667,2015.0,A Little Life,Hanya Yanagihara,eng,Excellent,4.27,66782,genre fiction,213.486,2.99,766,"Amazon Digital Services,  Inc.",38664,115605.36000000002
668,2003.0,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",eng,Excellent,4.12,81326,genre fiction,0.0,0.99,767,"Amazon Digital Services,  Inc.",38664,38277.36
669,2011.0,The Alloy of Law,Brandon Sanderson,eng,Excellent,4.2,72185,genre fiction,0.0,4.99,768,"Amazon Digital Services,  Inc.",38448,191855.52
670,2011.0,Dead Reckoning,Charlaine Harris,eng,Intermediate,3.77,87066,nonfiction,70.686,0.99,770,"Amazon Digital Services,  Inc.",38448,38063.52
672,2012.0,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire SÃ¡enz,es,Excellent,4.34,108884,fiction,649.74,9.1,770,"Amazon Digital Services,  Inc.",38232,347911.2
678,2012.0,The Marriage Bargain,Jennifer Probst,eng,Intermediate,3.81,91630,genre fiction,784.686,10.99,781,Random House LLC,37368,410674.32
681,2013.0,We Are All Completely Beside Ourselves,Karen Joy Fowler,eng,Intermediate,3.71,59973,genre fiction,0.0,2.99,783,"Amazon Digital Services,  Inc.",37152,111084.48
682,1996.0,Children of the Mind,Orson Scott Card,eng,Intermediate,3.74,74517,genre fiction,613.326,8.59,784,"Amazon Digital Services,  Inc.",36936,317280.24
684,1998.0,Someone Like You,Sarah Dessen,eng,Intermediate,3.94,84358,nonfiction,213.486,2.99,786,Simon and Schuster Digital Sales Inc,36936,110438.64
685,2003.0,Moloka'i,Alan Brennert,en-US,Excellent,4.15,75307,nonfiction,570.486,7.99,787,HarperCollins Christian Publishing,36720,293392.8
688,2012.0,The Coincidence of Callie & Kayden,Jessica Sorensen,eng,Excellent,4.21,97615,genre fiction,70.092,0.99,792,"Amazon Digital Services,  Inc.",36504,36138.96
689,2015.0,Fates and Furies,Lauren Groff,eng,Intermediate,3.56,66085,genre fiction,517.548,7.31,792,HarperCollins Publishers,36504,266844.24
690,1998.0,Summer Sisters,Judy Blume,es,Intermediate,3.83,73515,genre fiction,517.548,7.31,794,Penguin Group (USA) LLC,36504,266844.24
693,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,en-US,Excellent,4.06,32626,genre fiction,0.0,2.99,798,"Amazon Digital Services,  Inc.",36288,108501.12
694,2000.0,The Austere Academy,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.97,99311,genre fiction,0.0,0.99,799,"Amazon Digital Services,  Inc.",36288,35925.12
695,2001.0,Seven Up,Janet Evanovich,en-US,Excellent,4.15,94506,genre fiction,792.252,11.19,800,HarperCollins Publishers,36072,403645.68
696,2009.0,The Awakening,Kelley Armstrong,eng,Excellent,4.16,95026,genre fiction,456.66,6.45,802,Simon and Schuster Digital Sales Inc,36072,232664.4
697,2003.0,Death Masks,Jim Butcher,eng,Excellent,4.32,83664,children,392.94,5.55,802,"Amazon Digital Services,  Inc.",36072,200199.6
699,2007.0,Before They Are Hanged,Joe Abercrombie,eng,Excellent,4.27,68865,genre fiction,70.092,0.99,804,Random House LLC,35856,35497.44
700,2007.0,Loving Frank,Nancy Horan,en-US,Intermediate,3.73,72734,genre fiction,494.892,6.99,804,Hachette Book Group,35640,249123.6
701,2002.0,Hard Eight,"Janet Evanovich, Lorelei King",en-US,Excellent,4.17,93057,nonfiction,636.492,8.99,805,Random House LLC,35640,320403.60000000003
