,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
283,2008.0,Tempted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.96,127387,fiction,1655.55,8.49,305,HarperCollins Publishers,325,2759.25
284,2005.0,No Country for Old Men,Cormac McCarthy,eng,Excellent,4.12,100513,genre fiction,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323,1611.77
285,2009.0,Wolf Hall,Hilary Mantel,eng,Intermediate,3.85,102936,genre fiction,1481.094,7.69,307,Penguin Group (USA) LLC,321,2468.49
287,2001.0,Dreamcatcher,"Stephen King, William Olivier Desmond",fre,Intermediate,3.59,115855,genre fiction,0.0,4.99,310,"Amazon Digital Services,  Inc.",316,1576.84
290,2010.0,The Best of Me,Nicholas Sparks,en-US,Intermediate,3.91,103915,genre fiction,184.734,0.99,313,"Amazon Digital Services,  Inc.",311,307.89
291,2011.0,The Sense of an Ending,Julian Barnes,eng,Intermediate,3.7,94968,genre fiction,0.0,0.99,314,"Amazon Digital Services,  Inc.",310,306.9
294,2009.0,Shanghai Girls,Lisa See,eng,Intermediate,3.87,106729,nonfiction,1291.752,6.99,315,Penguin Group (USA) LLC,308,2152.92
296,2014.0,To All the Boys I've Loved Before,Jenny Han,eng,Excellent,4.11,136938,nonfiction,0.0,1.99,319,"Amazon Digital Services,  Inc.",301,598.99
297,2000.0,Persepolis,"Marjane Satrapi, Mattias Ripa",eng,Excellent,4.23,117103,genre fiction,892.212,4.99,321,Random House LLC,298,1487.02
299,2010.0,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,en-US,Intermediate,3.86,136736,genre fiction,0.0,3.99,322,"Amazon Digital Services,  Inc.",296,1181.04
300,2008.0,Lock and Key,Sarah Dessen,eng,Excellent,4.01,120475,nonfiction,531.024,2.99,322,"Amazon Digital Services,  Inc.",296,885.0400000000001
303,2008.0,Midnight Sun (Partial Draft),Stephenie Meyer,eng,Excellent,4.03,138118,genre fiction,0.0,0.99,324,"Amazon Digital Services,  Inc.",293,290.07
