,shooter
627,I don't understand this question
630,I don't understand this question
631,Han
632,Greedo
634,Greedo
635,Han
636,I don't understand this question
637,Han
638,I don't understand this question
639,I don't understand this question
640,I don't understand this question
641,Han
642,Han
643,Greedo
645,Han
649,I don't understand this question
650,I don't understand this question
652,Greedo
653,I don't understand this question
654,I don't understand this question
655,Han
656,Han
657,Greedo
658,Greedo
659,I don't understand this question
662,Greedo
664,I don't understand this question
665,I don't understand this question
666,I don't understand this question
667,I don't understand this question
670,I don't understand this question
671,I don't understand this question
673,Greedo
675,Han
676,I don't understand this question
677,Han
679,Han
680,Han
681,Han
683,I don't understand this question
684,I don't understand this question
685,Greedo
686,Han
687,I don't understand this question
689,Han
690,Greedo
691,I don't understand this question
692,I don't understand this question
693,Greedo
694,Greedo
695,I don't understand this question
696,I don't understand this question
698,I don't understand this question
700,Han
701,I don't understand this question
702,Han
703,I don't understand this question
704,Han
705,Han
706,Han
711,Han
712,I don't understand this question
713,Greedo
714,Greedo
715,Han
716,I don't understand this question
717,I don't understand this question
718,I don't understand this question
719,I don't understand this question
721,Han
722,Han
724,I don't understand this question
725,Han
726,Greedo
728,Han
729,I don't understand this question
731,Han
732,Han
735,Han
739,Greedo
740,Han
741,I don't understand this question
742,Han
743,I don't understand this question
744,Han
745,Han
750,I don't understand this question
751,Han
752,I don't understand this question
753,Han
754,Greedo
755,I don't understand this question
756,I don't understand this question
757,Han
761,Han
762,Han
763,I don't understand this question
766,Greedo
767,Han
768,Greedo
770,I don't understand this question
771,I don't understand this question
773,I don't understand this question
774,Han
775,I don't understand this question
776,I don't understand this question
777,I don't understand this question
778,Han
779,I don't understand this question
780,Han
781,I don't understand this question
783,Han
785,Han
787,Han
788,Greedo
789,Han
790,Han
791,Han
793,Greedo
794,I don't understand this question
797,I don't understand this question
798,I don't understand this question
799,Greedo
800,I don't understand this question
802,Greedo
803,I don't understand this question
805,Greedo
809,I don't understand this question
810,I don't understand this question
811,I don't understand this question
813,Greedo
814,I don't understand this question
815,I don't understand this question
819,Greedo
820,Greedo
821,Greedo
827,Greedo
828,I don't understand this question
829,Han
831,Han
832,I don't understand this question
833,Han
834,I don't understand this question
835,Greedo
836,Han
837,I don't understand this question
839,I don't understand this question
840,Han
843,Han
846,Han
847,Greedo
848,Greedo
849,Han
850,Han
851,Han
852,Greedo
853,Greedo
854,I don't understand this question
855,I don't understand this question
856,I don't understand this question
858,Han
859,I don't understand this question
861,I don't understand this question
862,I don't understand this question
863,Han
865,Han
867,I don't understand this question
868,I don't understand this question
869,I don't understand this question
870,Han
871,Greedo
874,I don't understand this question
875,Greedo
877,Han
879,I don't understand this question
880,Greedo
882,Greedo
883,Greedo
885,Han
887,Greedo
889,I don't understand this question
890,I don't understand this question
891,I don't understand this question
892,Han
893,Han
895,Han
896,Han
897,Greedo
898,I don't understand this question
901,Greedo
903,Han
904,I don't understand this question
906,I don't understand this question
907,I don't understand this question
908,I don't understand this question
909,I don't understand this question
910,Han
911,I don't understand this question
912,Han
914,Han
915,Greedo
916,I don't understand this question
917,I don't understand this question
918,Han
919,Han
920,Han
924,Greedo
925,I don't understand this question
926,Han
928,I don't understand this question
935,Greedo
937,Greedo
938,Han
940,I don't understand this question
941,Han
944,Han
946,Greedo
947,Greedo
948,Greedo
949,I don't understand this question
950,I don't understand this question
951,Han
952,I don't understand this question
953,Han
954,Greedo
956,Greedo
957,I don't understand this question
960,Greedo
961,I don't understand this question
962,Han
963,I don't understand this question
964,Greedo
965,Han
966,Han
967,I don't understand this question
968,Han
970,Han
971,I don't understand this question
972,Han
973,Greedo
974,I don't understand this question
975,I don't understand this question
976,Greedo
977,Han
978,Greedo
979,Han
980,I don't understand this question
983,Han
984,I don't understand this question
987,Han
989,I don't understand this question
990,I don't understand this question
992,Han
994,Han
995,I don't understand this question
996,I don't understand this question
997,Han
998,Han
1000,Greedo
1001,Han
1002,Greedo
1003,I don't understand this question
1005,Greedo
1010,Greedo
1011,I don't understand this question
1012,I don't understand this question
1014,I don't understand this question
1016,Han
1017,Han
1019,Greedo
1020,Han
1021,Han
1022,Greedo
1026,I don't understand this question
1028,Han
1030,I don't understand this question
1032,Greedo
1033,Han
1035,I don't understand this question
1036,Greedo
1037,I don't understand this question
1039,Greedo
1040,Han
1041,I don't understand this question
1042,I don't understand this question
1044,I don't understand this question
1046,I don't understand this question
1047,I don't understand this question
1048,Han
1050,Han
1051,Greedo
1055,Han
1056,Han
1057,Han
1058,Han
1059,Greedo
1066,I don't understand this question
1067,I don't understand this question
1068,Han
1069,Han
1070,I don't understand this question
1071,I don't understand this question
1072,I don't understand this question
1073,Greedo
1076,I don't understand this question
1078,I don't understand this question
1079,I don't understand this question
1081,Greedo
1083,I don't understand this question
1086,Greedo
1087,I don't understand this question
1088,I don't understand this question
1090,Han
1091,Greedo
1092,I don't understand this question
1096,I don't understand this question
1097,Han
1098,Han
1099,Han
1100,Han
1101,I don't understand this question
1102,I don't understand this question
1103,Greedo
1104,I don't understand this question
1106,Han
1107,Han
1110,I don't understand this question
1111,Han
1112,Greedo
1113,Han
1114,Han
1117,I don't understand this question
1118,I don't understand this question
1119,I don't understand this question
1121,Greedo
1123,Han
1125,Han
1126,I don't understand this question
1127,Greedo
1128,Han
1129,I don't understand this question
1130,Greedo
1131,Greedo
1133,I don't understand this question
1134,I don't understand this question
1138,I don't understand this question
1140,I don't understand this question
1142,Greedo
1144,Greedo
