,Age,Gender,Do you consider yourself to be a fan of the Star Wars film franchise?,movies_seen
381,18-29,Male,Yes,6
382,45-60,Male,No,1
384,30-44,Male,Yes,6
388,30-44,Male,No,6
389,45-60,Female,Yes,6
391,30-44,Male,No,1
392,45-60,Female,Yes,5
393,45-60,Male,Yes,1
395,> 60,Male,No,1
396,18-29,Female,No,4
397,45-60,Male,Yes,4
399,30-44,Male,Yes,6
400,18-29,Male,Yes,6
402,30-44,Male,Yes,6
403,30-44,Male,Yes,6
404,30-44,Male,Yes,3
405,45-60,Male,No,3
411,30-44,Male,No,3
412,45-60,Male,No,6
415,> 60,Female,No,3
416,> 60,Male,Yes,6
418,45-60,Male,Yes,6
419,45-60,Male,Yes,6
422,45-60,Male,Yes,5
423,45-60,Male,Yes,6
424,45-60,Male,Yes,6
425,45-60,Male,Yes,6
426,45-60,Male,No,3
428,30-44,Male,Yes,6
430,45-60,Female,Yes,4
432,30-44,Female,Yes,1
433,45-60,Female,No,4
434,30-44,Female,Yes,6
435,30-44,Male,Yes,6
436,45-60,Female,No,2
437,45-60,Male,No,2
438,30-44,Male,Yes,6
439,> 60,Male,Yes,4
440,18-29,Male,Yes,6
441,30-44,Male,Yes,4
442,18-29,Male,Yes,6
444,45-60,Male,Yes,4
445,30-44,Female,Yes,5
448,18-29,Male,No,6
449,30-44,Male,No,3
452,45-60,Male,Yes,6
454,18-29,Female,Yes,6
455,30-44,Female,Yes,3
457,18-29,Male,Yes,6
458,45-60,Male,Yes,4
460,45-60,Female,No,1
461,30-44,Male,No,2
467,18-29,Female,Yes,6
468,45-60,Male,Yes,3
469,30-44,Female,No,6
476,45-60,Male,Yes,6
477,30-44,Male,Yes,5
478,45-60,Female,No,1
479,45-60,Female,Yes,4
481,> 60,Male,Yes,6
483,> 60,Female,No,2
484,18-29,Female,Yes,6
485,18-29,Male,Yes,6
490,> 60,Female,Yes,6
491,45-60,Male,Yes,6
493,45-60,Male,Yes,6
494,18-29,Female,Yes,6
495,> 60,Female,Yes,3
497,45-60,Female,Yes,2
498,> 60,Female,No,3
499,45-60,Male,No,5
500,18-29,Female,Yes,4
501,30-44,Female,Yes,6
503,30-44,Female,Yes,6
505,> 60,Female,No,6
506,> 60,Female,Yes,2
507,> 60,Female,Yes,4
508,> 60,Male,No,0
509,> 60,Male,Yes,5
514,45-60,Male,Yes,6
517,18-29,Female,Yes,5
518,18-29,Male,Yes,6
519,> 60,Male,Yes,6
520,45-60,Female,Yes,6
521,18-29,Male,No,2
522,> 60,Female,Yes,3
523,> 60,Male,Yes,2
524,> 60,Male,Yes,6
527,30-44,Female,Yes,4
528,30-44,Male,Yes,6
529,> 60,Female,No,3
530,30-44,Male,Yes,6
531,30-44,Female,No,3
532,30-44,Female,Yes,5
534,> 60,Female,Yes,6
535,45-60,Female,Yes,6
537,> 60,Female,Yes,3
538,45-60,Male,Yes,6
541,45-60,Female,No,2
545,45-60,Female,Yes,6
549,> 60,Female,Yes,6
551,30-44,Male,No,6
552,> 60,Female,No,6
555,45-60,Male,No,6
556,45-60,Male,No,6
561,45-60,Male,Yes,6
563,> 60,Female,Yes,6
564,18-29,Female,Yes,6
565,45-60,Male,Yes,6
568,18-29,Male,Yes,6
569,30-44,Male,No,4
570,45-60,Male,Yes,6
571,> 60,Female,No,1
572,45-60,Female,No,2
574,30-44,Female,Yes,5
576,18-29,Female,No,2
581,18-29,Female,Yes,6
584,> 60,Female,Yes,6
585,18-29,Male,Yes,6
586,> 60,Male,No,1
590,18-29,Female,Yes,6
591,30-44,Female,Yes,6
592,18-29,Female,No,2
593,45-60,Male,Yes,6
594,18-29,Male,Yes,6
595,> 60,Male,Yes,5
598,> 60,Female,Yes,2
600,> 60,Male,No,4
601,30-44,Male,Yes,6
602,18-29,Male,Yes,6
603,30-44,Male,Yes,6
604,18-29,Male,No,5
606,30-44,Female,Yes,2
607,30-44,Male,Yes,4
608,45-60,Female,Yes,4
609,30-44,Female,Yes,6
620,> 60,Female,No,6
621,> 60,Female,No,2
622,45-60,Male,Yes,6
623,> 60,Female,No,3
625,> 60,Male,Yes,6
626,> 60,Female,No,4
627,30-44,Female,Yes,6
630,45-60,Male,No,3
632,30-44,Male,Yes,6
634,45-60,Male,Yes,4
635,18-29,Female,Yes,6
636,> 60,Female,Yes,2
637,45-60,Female,Yes,5
639,45-60,Male,Yes,3
640,> 60,Female,Yes,3
641,> 60,Male,Yes,6
642,18-29,Male,No,3
643,> 60,Male,No,3
645,> 60,Female,Yes,6
650,> 60,Male,No,4
652,> 60,Female,Yes,6
653,18-29,Female,Yes,6
654,> 60,Male,Yes,6
656,18-29,Female,Yes,6
